Date,Rainfall,OsWL,Groundwater
12/1/1958,0.04,NA,NA
12/2/1958,0.13,NA,NA
12/3/1958,0.04,NA,NA
12/4/1958,0.02,NA,NA
12/5/1958,0,NA,NA
12/6/1958,0,NA,NA
12/7/1958,0,NA,NA
12/8/1958,0,NA,NA
12/9/1958,0.04,NA,NA
12/10/1958,1.5,NA,NA
12/11/1958,0.4,NA,NA
12/12/1958,0.1,NA,NA
12/13/1958,0,NA,NA
12/14/1958,0,NA,NA
12/15/1958,NA,NA,NA
12/16/1958,NA,NA,NA
12/17/1958,1.23,NA,NA
12/18/1958,NA,NA,NA
12/19/1958,0,NA,NA
12/20/1958,0,NA,NA
12/21/1958,0,NA,NA
12/22/1958,0,NA,NA
12/23/1958,0,NA,NA
12/24/1958,0,NA,NA
12/25/1958,0,NA,NA
12/26/1958,0,NA,NA
12/27/1958,0.54,NA,NA
12/28/1958,0,NA,NA
12/29/1958,0,NA,NA
12/30/1958,0,NA,NA
12/31/1958,0,NA,NA
1/1/1959,0,NA,NA
1/2/1959,0,NA,NA
1/3/1959,0,NA,NA
1/4/1959,0.14,NA,NA
1/5/1959,0.12,NA,NA
1/6/1959,0,NA,NA
1/7/1959,0,NA,NA
1/8/1959,0,NA,NA
1/9/1959,0.02,NA,NA
1/10/1959,0,NA,NA
1/11/1959,0,NA,NA
1/12/1959,0,NA,NA
1/13/1959,0,NA,NA
1/14/1959,0,NA,NA
1/15/1959,0,NA,NA
1/16/1959,0,NA,NA
1/17/1959,0.08,NA,NA
1/18/1959,0,NA,NA
1/19/1959,0,NA,NA
1/20/1959,0,NA,NA
1/21/1959,0,NA,NA
1/22/1959,0,NA,NA
1/23/1959,0.05,NA,NA
1/24/1959,0.1,NA,NA
1/25/1959,0.03,NA,NA
1/26/1959,0.03,NA,NA
1/27/1959,0.04,NA,NA
1/28/1959,0.4,NA,NA
1/29/1959,0.29,NA,NA
1/30/1959,0,NA,NA
1/31/1959,0,NA,NA
2/1/1959,0,NA,NA
2/2/1959,0,NA,NA
2/3/1959,0,NA,NA
2/4/1959,0,NA,NA
2/5/1959,0,NA,NA
2/6/1959,0.55,NA,NA
2/7/1959,0,NA,NA
2/8/1959,0.03,NA,NA
2/9/1959,0.01,NA,NA
2/10/1959,0,NA,NA
2/11/1959,0,NA,NA
2/12/1959,0,NA,NA
2/13/1959,0.08,NA,NA
2/14/1959,0,NA,NA
2/15/1959,0,NA,NA
2/16/1959,0,NA,NA
2/17/1959,0.28,NA,NA
2/18/1959,0.07,NA,NA
2/19/1959,0.01,NA,NA
2/20/1959,0.01,NA,NA
2/21/1959,0.37,NA,NA
2/22/1959,0,NA,NA
2/23/1959,0,NA,NA
2/24/1959,0,NA,NA
2/25/1959,0,NA,NA
2/26/1959,0,NA,NA
2/27/1959,0,NA,NA
2/28/1959,0,NA,NA
3/1/1959,0.18,NA,NA
3/2/1959,0.15,NA,NA
3/3/1959,0,NA,NA
3/4/1959,0,NA,NA
3/5/1959,0.03,NA,NA
3/6/1959,0.05,NA,NA
3/7/1959,0.05,NA,NA
3/8/1959,0.07,NA,NA
3/9/1959,0.29,NA,NA
3/10/1959,0.01,NA,NA
